id,timestamp,type,direction,grade,confidence,setup,current_price,reason_list,engine_version
63de37b7-4cdd-4e1c-b348-d18758d177a8,2026-08-11T09:20:33.994030,Trading,Short,A+,95,vwap,57558.8,"Trend: Close 57558.80 below VWAP 57589.06, slope -44.14 (entered, exits above -4.30) | Pullback: No pullback to EMA10 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Projected relative volume 4.14 >= 1.25 (2460 in 34s -> projected 21711) | Open Interest: OI 2077020 -> 2078430 (+0.07%) | Poc: Close 57558.80 above POC 57507.50 | Vah: Close 57558.80 below VAH 57705.00 | Val: Close 57558.80 above VAL 57505.00 | Vwap Pullback: High 57588.00 within 10 of VWAP 57589.06 > Close 57558.80 | Vwap Rejection: Close 57558.80 held 77% of range below VWAP 57589.06",b3620733
7ab339ef-3015-40e1-827e-8d00785d88e2,2026-08-11T09:25:30.148872,Trading,Short,A+,95,vwap,57555.0,"Trend: Close 57555.00 below VWAP 57580.12, slope -39.14 (entered, exits above -4.30) | Pullback: No pullback to EMA10 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Projected relative volume 2.80 >= 1.30 (1710 in 30s -> projected 17016) | Open Interest: OI 2087160 -> 2089320 (+0.10%) | Poc: Close 57555.00 above POC 57542.50 | Vah: Close 57555.00 below VAH 57710.00 | Val: Close 57555.00 above VAL 57540.00 | Vwap Pullback: High 57571.60 within 10 of VWAP 57580.12 > Close 57555.00 | Vwap Rejection: Close 57555.00 held 70% of range below VWAP 57580.12",b3620733
fbec0b68-593f-4626-a23e-760f775ed170,2026-08-11T12:12:33.120408,Trading,Long,A,80,vwap,57520.0,"Trend: Close 57520.00 above VWAP 57482.36, slope +5.35 (entered, exits below +4.30) | Pullback: Low 57485.00 <= EMA10 57511.77 < Close 57520.00 | Rejection: No rejection pattern | Volume: Projected relative volume 2.06 >= 1.25 (2670 in 153s -> projected 5231) | Open Interest: OI 2123760 -> 2123640 (-0.01%) | Poc: Close 57520.00 above POC 57412.50 | Vah: Close 57520.00 below VAH 57555.00 | Val: Close 57520.00 above VAL 57400.00 | Vwap Pullback: Low 57485.00 within 10 of VWAP 57482.36 < Close 57520.00 | Vwap Rejection: Close 57520.00 held 100% of range above VWAP 57482.36",b3620733
d17c9a5d-557f-4d28-81d6-85d4bd31eb6f,2026-08-11T13:15:42.993644,Trading,Long,A,80,ema,57619.8,"Trend: Close 57619.80 above VWAP 57495.87, slope +7.75 (entered, exits below +4.30) | Pullback: Low 57582.20 <= EMA10 57588.35 < Close 57619.80 | Rejection: Lower wick + bullish candle + Close above EMA10 | Volume: Projected relative volume 2.55 >= 1.25 (990 in 43s -> projected 6908) | Open Interest: OI 2111910 -> 2111940 (+0.00%) | Poc: Close 57619.80 above POC 57517.50 | Vah: Close 57619.80 above VAH 57590.00 | Val: Close 57619.80 above VAL 57415.00 | Vwap Pullback: No pullback to VWAP 57495.87 | Vwap Rejection: Close 57619.80 held 100% of range above VWAP 57495.87",b3620733
b047f1e6-d807-40ea-b41d-6cfa3a5e1b9f,2026-08-11T14:33:21.295960,Trading,Long,A,80,ema,57608.0,"Trend: Close 57608.00 above VWAP 57515.67, slope +5.53 (entered, exits below +4.30) | Pullback: Low 57570.60 <= EMA10 57602.73 < Close 57608.00 | Rejection: Lower wick + bullish candle + Close above EMA10 | Volume: Projected relative volume 1.89 >= 1.25 (4890 in 201s -> projected 7288) | Open Interest: OI 2098500 -> 2098470 (-0.00%) | Poc: Close 57608.00 above POC 57517.50 | Vah: Close 57608.00 below VAH 57630.00 | Val: Close 57608.00 above VAL 57420.00 | Vwap Pullback: No pullback to VWAP 57515.67 | Vwap Rejection: Close 57608.00 held 100% of range above VWAP 57515.67",b3620733
8648548b-449c-44ff-a841-3d9912cbaa25,2026-08-11T14:47:29.725733,Trading,Long,B,65,ema,57598.8,"Trend: Close 57598.80 above VWAP 57516.33, slope +5.78 (entered, exits below +4.30) | Pullback: Low 57564.80 <= EMA10 57590.33 < Close 57598.80 | Rejection: Lower wick + bullish candle + Close above EMA10 | Volume: Projected relative volume 1.02 in Normal band (1890 in 150s -> projected 3787) | Open Interest: OI 2095470 -> 2094930 (-0.03%) | Poc: Close 57598.80 above POC 57517.50 | Vah: Close 57598.80 below VAH 57630.00 | Val: Close 57598.80 above VAL 57425.00 | Vwap Pullback: No pullback to VWAP 57516.33 | Vwap Rejection: Close 57598.80 held 100% of range above VWAP 57516.33",b3620733
f5eb728b-c74c-4f0c-b365-97b90f6152e6,2026-08-12T09:21:03.677581,Trading,Long,B,65,ema,57599.0,"Trend: Close 57599.00 above VWAP 57535.22, slope +7.09 (entered, exits below +4.30) | Pullback: Low 57550.00 <= EMA10 57579.63 < Close 57599.00 | Rejection: Lower wick + bullish candle + Close above EMA10 | Volume: Projected relative volume 1.23 in Normal band (1050 in 64s -> projected 4947) | Open Interest: OI 2068530 -> 2068920 (+0.02%) | Poc: Close 57599.00 above POC 57462.50 | Vah: Close 57599.00 above VAH 57565.00 | Val: Close 57599.00 above VAL 57460.00 | Vwap Pullback: No pullback to VWAP 57535.22 | Vwap Rejection: Close 57599.00 held 100% of range above VWAP 57535.22",b3620733
9e8da61d-e86b-4775-b374-a8e00b0fc82b,2026-08-12T09:21:07.725510,Trading,Long,A,80,ema,57607.0,"Trend: Close 57607.00 above VWAP 57537.42, slope +10.36 (entered, exits below +4.30) | Pullback: Low 57550.00 <= EMA10 57581.08 < Close 57607.00 | Rejection: Lower wick + bullish candle + Close above EMA10 | Volume: Projected relative volume 1.62 >= 1.30 (1470 in 68s -> projected 6512) | Open Interest: OI 2068530 -> 2068920 (+0.02%) | Poc: Close 57607.00 above POC 57462.50 | Vah: Close 57607.00 above VAH 57565.00 | Val: Close 57607.00 above VAL 57460.00 | Vwap Pullback: No pullback to VWAP 57537.42 | Vwap Rejection: Close 57607.00 held 100% of range above VWAP 57537.42",b3620733
a83f6f39-e2b9-4dc6-8aa3-ab6a85023afa,2026-08-12T09:21:55.744323,Trading,Long,A+,95,ema,57578.2,"Trend: Close 57578.20 above VWAP 57548.55, slope -0.33 (holding, exits below -4.30) | Pullback: Low 57550.00 <= EMA10 57575.85 < Close 57578.20 | Rejection: Lower wick + bullish candle + Close above EMA10 | Volume: Projected relative volume 2.29 >= 1.25 (3540 in 116s -> projected 9175) | Open Interest: OI 2068530 -> 2069790 (+0.06%) | Poc: Close 57578.20 above POC 57462.50 | Vah: Close 57578.20 above VAH 57565.00 | Val: Close 57578.20 above VAL 57460.00 | Vwap Pullback: Low 57550.00 within 10 of VWAP 57548.55 < Close 57578.20 | Vwap Rejection: No rejection at VWAP",b3620733
1f81b5a2-c7b5-4470-a1a0-d36df98d33f7,2026-08-12T09:49:16.314484,Trading,Short,A+,95,vwap,57782.8,"Trend: Close 57782.80 below VWAP 57784.22, slope -4.95 (entered, exits above -4.30) | Pullback: No pullback to EMA10 | Rejection: No rejection pattern | Volume: Projected relative volume 1.53 >= 1.25 (10650 in 256s -> projected 12465) | Open Interest: OI 2063880 -> 2065350 (+0.07%) | Poc: Close 57782.80 below POC 57827.50 | Vah: Close 57782.80 below VAH 57905.00 | Val: Close 57782.80 above VAL 57745.00 | Vwap Pullback: High 57850.20 within 10 of VWAP 57784.22 > Close 57782.80 | Vwap Rejection: Close 57782.80 held 100% of range below VWAP 57784.22",b3620733
