id,timestamp,type,direction,grade,confidence,current_price,reason_list
793c09fc-05ca-49b1-9762-df1a928f3d0c,2026-08-03T15:10:22.082906,Trading,Short,B,65,57825.0,"Trend: Close 57825.00 & EMA10 57828.66 below VWAP 57907.16, slope -0.81 | Pullback: High 57832.00 >= EMA10 57828.66 > Close 57825.00 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 0.93 in Normal band | Open Interest: OI 2145150 -> 2145150 (+0.00%) | Poc: Close 57825.00 below POC 58002.50 | Vah: Close 57825.00 below VAH 58030.00 | Val: Close 57825.00 below VAL 57835.00"
853c22d8-3216-450b-bef6-fd7b59f44bc2,2026-08-03T15:10:29.100610,Trading,Short,A,80,57820.0,"Trend: Close 57820.00 & EMA10 57827.75 below VWAP 57907.10, slope -1.72 | Pullback: High 57832.00 >= EMA10 57827.75 > Close 57820.00 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 2.01 >= 1.3 | Open Interest: OI 2145150 -> 2145150 (+0.00%) | Poc: Close 57820.00 below POC 58002.50 | Vah: Close 57820.00 below VAH 58030.00 | Val: Close 57820.00 below VAL 57835.00"
d83a87e0-3a1b-4a48-aa38-1f49d5b0b9ef,2026-08-03T15:10:50.134442,Trading,Short,A,80,57825.0,"Trend: Close 57825.00 & EMA10 57828.66 below VWAP 57907.06, slope -0.81 | Pullback: High 57835.00 >= EMA10 57828.66 > Close 57825.00 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 2.72 >= 1.3 | Open Interest: OI 2145150 -> 2145150 (+0.00%) | Poc: Close 57825.00 below POC 58002.50 | Vah: Close 57825.00 below VAH 58030.00 | Val: Close 57825.00 below VAL 57835.00"
ea50cf27-0721-454c-bc4b-0ff1693e61c2,2026-08-03T15:11:30.727699,Trading,Short,A,80,57820.0,"Trend: Close 57820.00 & EMA10 57827.75 below VWAP 57906.99, slope -1.72 | Pullback: High 57850.00 >= EMA10 57827.75 > Close 57820.00 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 4.16 >= 1.3 | Open Interest: OI 2145150 -> 2144670 (-0.02%) | Poc: Close 57820.00 below POC 58002.50 | Vah: Close 57820.00 below VAH 58030.00 | Val: Close 57820.00 below VAL 57835.00"
474e7bc7-e814-4d4b-8887-d39804671f23,2026-08-03T15:11:43.560251,Trading,Short,A,80,57820.0,"Trend: Close 57820.00 & EMA10 57827.75 below VWAP 57906.98, slope -1.72 | Pullback: High 57850.00 >= EMA10 57827.75 > Close 57820.00 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 4.44 >= 1.3 | Open Interest: OI 2145150 -> 2144670 (-0.02%) | Poc: Close 57820.00 below POC 58002.50 | Vah: Close 57820.00 below VAH 58030.00 | Val: Close 57820.00 below VAL 57835.00"
8267d7fd-1a68-4bd7-875b-f46ee1fcbd1e,2026-08-03T15:15:22.251778,Trading,Short,B,65,57830.0,"Trend: Close 57830.00 & EMA10 57847.43 below VWAP 57906.36, slope -3.87 | Pullback: High 57861.40 >= EMA10 57847.43 > Close 57830.00 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 0.87 in Normal band | Open Interest: OI 2142570 -> 2142570 (+0.00%) | Poc: Close 57830.00 below POC 58002.50 | Vah: Close 57830.00 below VAH 58030.00 | Val: Close 57830.00 below VAL 57835.00"
622f3c5c-d543-45cd-8e2b-dd639916a10e,2026-08-03T15:15:29.082017,Trading,Short,A,80,57826.6,"Trend: Close 57826.60 & EMA10 57846.81 below VWAP 57906.31, slope -4.49 | Pullback: High 57861.40 >= EMA10 57846.81 > Close 57826.60 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 1.89 >= 1.3 | Open Interest: OI 2142570 -> 2142570 (+0.00%) | Poc: Close 57826.60 below POC 58002.50 | Vah: Close 57826.60 below VAH 58030.00 | Val: Close 57826.60 below VAL 57835.00"
528e1a4e-7c78-41b7-8381-dd4c36f71f5b,2026-08-03T15:15:34.900623,Trading,Short,A,80,57826.8,"Trend: Close 57826.80 & EMA10 57846.85 below VWAP 57906.30, slope -4.46 | Pullback: High 57862.20 >= EMA10 57846.85 > Close 57826.80 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 2.20 >= 1.3 | Open Interest: OI 2142570 -> 2142570 (+0.00%) | Poc: Close 57826.80 below POC 58002.50 | Vah: Close 57826.80 below VAH 58030.00 | Val: Close 57826.80 below VAL 57835.00"
1c6708b6-42c6-4fe1-8f32-04785b125e1e,2026-08-03T15:21:17.043592,Trading,Short,B,65,57850.0,"Trend: Close 57850.00 & EMA10 57856.41 below VWAP 57905.78, slope -1.43 | Pullback: High 57868.80 >= EMA10 57856.41 > Close 57850.00 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 0.85 in Normal band | Open Interest: OI 2143170 -> 2143830 (+0.03%) | Poc: Close 57850.00 below POC 58002.50 | Vah: Close 57850.00 below VAH 58030.00 | Val: Close 57850.00 above VAL 57835.00"
bbfb56e1-3a7d-4e07-8758-c17b716798a3,2026-08-03T15:22:17.992106,Trading,Short,A+,95,57847.0,"Trend: Close 57847.00 & EMA10 57855.87 below VWAP 57905.69, slope -1.97 | Pullback: High 57870.00 >= EMA10 57855.87 > Close 57847.00 | Rejection: Upper wick + bearish candle + Close below EMA10 | Volume: Relative volume 1.53 >= 1.3 | Open Interest: OI 2143170 -> 2144340 (+0.05%) | Poc: Close 57847.00 below POC 58002.50 | Vah: Close 57847.00 below VAH 58030.00 | Val: Close 57847.00 above VAL 57835.00"
